"Genus","indicator_for","stat","p.value","q"
"Micrococcus","Intestinal",0.22260824725519,3e-04,0.0394
"Arcobacter","Intestinal",0.478685767733607,3e-04,0.0394
"Ligilactobacillus","Intestinal",0.353706147538135,0.001,0.0788
"Helicobacter","Diffuse",0.534342257452412,0.0011,0.0788
"Stenotrophomonas","Intestinal",0.418828753881828,0.0012,0.0788
"Marinobacterium","Intestinal",0.342166238559293,0.0016,0.0900571428571429
"Pseudomonas","Intestinal",0.291223447276799,0.0032,0.1379
"Incertae_Sedis.45","Intestinal",0.422117384705138,0.0029,0.1379
"Peptoniphilus","Intestinal",0.351317837645424,0.0046,0.164763636363636
"Acinetobacter","Intestinal",0.368512730480329,0.0052,0.170733333333333
"Unclassified_Enterobacteriaceae","Intestinal",0.304620082897373,0.0069,0.209123076923077
"Devosia","Intestinal",0.29344782068449,0.0094,0.264542857142857
"Shewanella","Intestinal",0.382175696218523,0.0165,0.270875
"Moraxella","Intestinal",0.322041191211695,0.0117,0.270875
"Halomonas","Intestinal",0.383116057214567,0.016,0.270875
"Enterococcus","Intestinal",0.386019306221782,0.0148,0.270875
"Limosilactobacillus","Intestinal",0.281569436604095,0.0138,0.270875
"Ezakiella","Intestinal",0.264850704562355,0.0156,0.270875
"Romboutsia","Intestinal",0.314000269047475,0.0149,0.270875
"Christensenellaceae_R-7_group","Intestinal",0.286941027647818,0.0152,0.270875
"Brevundimonas","Intestinal",0.389280143447997,0.0162,0.270875
"Thermoanaerobacter","Intestinal",0.228529620055747,0.0105,0.270875
"Tannerella","Diffuse",0.326811011384854,0.0187,0.294712
"Algoriphagus","Intestinal",0.258571509403708,0.0315,0.34081
"Pseudolysobacter","Intestinal",0.293366085166214,0.0306,0.34081
"Salinisphaera","Intestinal",0.343910051539826,0.0346,0.34081
"Kytococcus","Intestinal",0.258071313613093,0.0298,0.34081
"Candidatus_Planktophila","Intestinal",0.296877492039392,0.0316,0.34081
"Unclassified_Oxalobacteraceae","Intestinal",0.295151736826802,0.0311,0.34081
"Polynucleobacter","Intestinal",0.300248336531941,0.0345,0.34081
"Zoogloea","Intestinal",0.23235342854268,0.0299,0.34081
"Weissella","Intestinal",0.26782934931348,0.033,0.34081
"Leuconostoc","Intestinal",0.290683446334272,0.0338,0.34081
"W5053","Intestinal",0.274879880394975,0.0322,0.34081
"Stomatobaculum","Intestinal",0.276660627070999,0.033,0.34081
"Anaerolinea","Intestinal",0.305802772549258,0.0315,0.34081
"Erythrobacter","Intestinal",0.27968060816409,0.0284,0.34081
"Sphingomonas","Intestinal",0.34056823114054,0.0253,0.34081
"Buchnera","Intestinal",0.262730293023958,0.0382,0.343217777777778
"Incertae_Sedis.21","Intestinal",0.271124642142718,0.0392,0.343217777777778
"Tepidiphilus","Diffuse",0.27601119241317,0.0358,0.343217777777778
"Selenomonas","Intestinal",0.254155425674811,0.0368,0.343217777777778
"Lachnoanaerobaculum","Intestinal",0.335435111838133,0.0386,0.343217777777778
"Unclassified_Rhizobiaceae","Intestinal",0.268462618423986,0.0425,0.364021739130435
"Unclassified_Bacillaceae","Intestinal",0.266623465023341,0.0442,0.370527659574468
"hgcI_clade","Intestinal",0.214806852245136,0.0452,0.371016666666667
"Incertae_Sedis.51","Intestinal",0.284989213842834,0.047,0.377918367346939
"Massilia","Intestinal",0.240844780736614,0.049,0.38612
