"Genus","indicator_for","stat","p.value","q"
"Unclassified_NA","Intestinal",0.479770296444432,2e-04,0.0394
"Micrococcus","Intestinal",0.22260824725519,3e-04,0.0394
"Arcobacter","Intestinal",0.478685767733607,3e-04,0.0394
"Ligilactobacillus","Intestinal",0.353706147538135,0.001,0.0788
"Helicobacter","Diffuse",0.534342257452412,0.0011,0.0788
"Stenotrophomonas","Intestinal",0.418828753881828,0.0012,0.0788
"Marinobacterium","Intestinal",0.342166238559293,0.0016,0.0900571428571429
"Mammalia","Intestinal",0.407708570579238,0.0034,0.13396
"Pseudomonas","Intestinal",0.291223447276799,0.0032,0.13396
"Incertae_Sedis.45","Intestinal",0.422117384705138,0.0029,0.13396
"Acinetobacter","Intestinal",0.368512730480329,0.0051,0.16745
"Peptoniphilus","Intestinal",0.351317837645424,0.0047,0.16745
"Unclassified_Enterobacteriaceae","Intestinal",0.304620082897373,0.007,0.212153846153846
"Devosia","Intestinal",0.29344782068449,0.0094,0.264542857142857
"Shewanella","Intestinal",0.382175696218523,0.0165,0.270875
"Moraxella","Intestinal",0.322041191211695,0.0118,0.270875
"Halomonas","Intestinal",0.383116057214567,0.016,0.270875
"Enterococcus","Intestinal",0.386019306221782,0.0148,0.270875
"Limosilactobacillus","Intestinal",0.281569436604095,0.014,0.270875
"Ezakiella","Intestinal",0.264850704562355,0.0154,0.270875
"Romboutsia","Intestinal",0.314000269047475,0.015,0.270875
"Christensenellaceae_R-7_group","Intestinal",0.286941027647818,0.0154,0.270875
"Brevundimonas","Intestinal",0.389280143447997,0.0162,0.270875
"Thermoanaerobacter","Intestinal",0.228529620055747,0.0106,0.270875
"Tannerella","Diffuse",0.326811011384854,0.0187,0.294712
"Algoriphagus","Intestinal",0.258571509403708,0.0316,0.339825
"Pseudolysobacter","Intestinal",0.293366085166214,0.0309,0.339825
"Salinisphaera","Intestinal",0.343910051539826,0.0344,0.339825
"Kytococcus","Intestinal",0.258071313613093,0.0298,0.339825
"Candidatus_Planktophila","Intestinal",0.296877492039392,0.0318,0.339825
"Unclassified_Oxalobacteraceae","Intestinal",0.295151736826802,0.0314,0.339825
"Polynucleobacter","Intestinal",0.300248336531941,0.0345,0.339825
"Zoogloea","Intestinal",0.23235342854268,0.0299,0.339825
"Weissella","Intestinal",0.26782934931348,0.0331,0.339825
