"Genus","indicator_for","stat","p.value","q"
"Unclassified_NA","Intestinal",0.479770296444432,2e-04,0.0394
"Arcobacter","Intestinal",0.478685767733607,1e-04,0.0394
"Marinobacterium","Intestinal",0.342166238559293,9e-04,0.07092
"Micrococcus","Intestinal",0.22260824725519,6e-04,0.07092
"Ligilactobacillus","Intestinal",0.353706147538135,8e-04,0.07092
"Helicobacter","Diffuse",0.534342257452412,0.0014,0.0788
"Stenotrophomonas","Intestinal",0.418828753881828,0.0012,0.0788
"Incertae_Sedis.45","Intestinal",0.422117384705138,0.0017,0.083725
"Mammalia","Intestinal",0.407708570579238,0.0021,0.0919333333333333
"Pseudomonas","Intestinal",0.291223447276799,0.0039,0.15366
"Acinetobacter","Intestinal",0.368512730480329,0.0046,0.164763636363636
"Peptoniphilus","Intestinal",0.351317837645424,0.0055,0.180583333333333
"Unclassified_Enterobacteriaceae","Intestinal",0.304620082897373,0.0088,0.247657142857143
"Thermoanaerobacter","Intestinal",0.228529620055747,0.0088,0.247657142857143
"Moraxella","Intestinal",0.322041191211695,0.0102,0.251175
"Devosia","Intestinal",0.29344782068449,0.01,0.251175
"Enterococcus","Intestinal",0.386019306221782,0.0117,0.263357894736842
"Limosilactobacillus","Intestinal",0.281569436604095,0.0127,0.263357894736842
"Brevundimonas","Intestinal",0.389280143447997,0.0123,0.263357894736842
"Shewanella","Intestinal",0.382175696218523,0.0159,0.264308333333333
"Halomonas","Intestinal",0.383116057214567,0.0161,0.264308333333333
"Ezakiella","Intestinal",0.264850704562355,0.0151,0.264308333333333
"Romboutsia","Intestinal",0.314000269047475,0.0156,0.264308333333333
"Christensenellaceae_R-7_group","Intestinal",0.286941027647818,0.0144,0.264308333333333
"Tannerella","Diffuse",0.326811011384854,0.0201,0.316776
"Algoriphagus","Intestinal",0.258571509403708,0.0317,0.34081
"Pseudolysobacter","Intestinal",0.293366085166214,0.0315,0.34081
"Kytococcus","Intestinal",0.258071313613093,0.0336,0.34081
"Candidatus_Planktophila","Intestinal",0.296877492039392,0.031,0.34081
"Unclassified_Oxalobacteraceae","Intestinal",0.295151736826802,0.0315,0.34081
"Polynucleobacter","Intestinal",0.300248336531941,0.0321,0.34081
"Zoogloea","Intestinal",0.23235342854268,0.0345,0.34081
"Weissella","Intestinal",0.26782934931348,0.0308,0.34081
"Leuconostoc","Intestinal",0.290683446334272,0.0346,0.34081
"W5053","Intestinal",0.274879880394975,0.0313,0.34081
"Stomatobaculum","Intestinal",0.276660627070999,0.0282,0.34081
"Lachnoanaerobaculum","Intestinal",0.335435111838133,0.0334,0.34081
"Anaerolinea","Intestinal",0.305802772549258,0.034,0.34081
"Erythrobacter","Intestinal",0.27968060816409,0.0303,0.34081
"Sphingomonas","Intestinal",0.34056823114054,0.0242,0.34081
"Buchnera","Intestinal",0.262730293023958,0.0378,0.3546
"Incertae_Sedis.21","Intestinal",0.271124642142718,0.0377,0.3546
"Tepidiphilus","Diffuse",0.27601119241317,0.0388,0.3546
"Selenomonas","Intestinal",0.254155425674811,0.0396,0.3546
"Salinisphaera","Intestinal",0.343910051539826,0.0417,0.357169565217391
"Unclassified_Rhizobiaceae","Intestinal",0.268462618423986,0.0408,0.357169565217391
"hgcI_clade","Intestinal",0.214806852245136,0.0428,0.358791489361702
"Unclassified_Bacillaceae","Intestinal",0.266623465023341,0.0438,0.359525
"Massilia","Intestinal",0.240844780736614,0.0493,0.392424
"Incertae_Sedis.51","Intestinal",0.284989213842834,0.0498,0.392424
"Exiguobacterium","Intestinal",0.217759429231418,0.0526,0.406360784313726
"Candidatus_Xiphinematobacter","Intestinal",0.239980736346373,0.058,0.43637358490566
"Leptotrichia","Intestinal",0.292585935391936,0.0587,0.43637358490566
"Unclassified_Clostridiaceae","Intestinal",0.199288635928491,0.0624,0.455288888888889
"Bifidobacterium","Intestinal",0.198606764123412,0.0642,0.459905454545455
"Unclassified_Intrasporangiaceae","Intestinal",0.293674264931617,0.0681,0.479132142857143
"Butyrivibrio","Diffuse",0.299438084590645,0.0715,0.494228070175439
"Porphyromonas","Diffuse",0.261620639996041,0.0769,0.522389655172414
"Parabacteroides","Intestinal",0.196894651064175,0.101,0.579818918918919
"Candidatus_Aquirestis","Intestinal",0.198652724069913,0.1047,0.579818918918919
"Cellvibrio","Intestinal",0.246161983845918,0.1089,0.579818918918919
"Actinobacillus","Diffuse",0.256044798736273,0.1037,0.579818918918919
